ID;Round;Date;HomeTeam;GuestTeam;Score;ScoreHalfTime
1;1;15.8.2021 15:00;SV Horn;Union LUV Graz;5:1;(2:0)
2;1;15.8.2021 14:00;Wildcats 11teamsports Krottendorf;Sportunion Raiffeisen Geretsberg;8:0;(4:0)
3;1;15.8.2021 11:00;FC Mohren Dornbirn Damen;Carinthians LIWOdruck Hornets;2:0;(1:0)
4;1;15.8.2021 11:00;RW Rankweil;SV Fenastra Krenglbach;3:2;(2:0)
5;1;14.8.2021 18:00;USC Landhaus;SC Neusiedl am See 1919;6:0;(2:0)
6;1;14.8.2021 16:00;FC Altera Porta;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;0:7;(0:4)
7;2;22.8.2021 14:00;Carinthians LIWOdruck Hornets;Wildcats 11teamsports Krottendorf;0:0;(0:0)
8;2;22.8.2021 14:00;Sportunion Raiffeisen Geretsberg;USC Landhaus;5:4;(4:2)
9;2;22.8.2021 11:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;RW Rankweil;0:2;(0:2)
10;2;22.8.2021 11:00;Union LUV Graz;FC Mohren Dornbirn Damen;1:5;(0:2)
11;2;21.8.2021 17:00;Wiener Sport-Club;FC Altera Porta;4:1;(0:1)
12;2;21.8.2021 14:00;SV Fenastra Krenglbach;SV Horn;0:4;(0:1)
13;3;29.8.2021 14:00;USC Landhaus;Carinthians LIWOdruck Hornets;3:4;(1:2)
14;3;29.8.2021 11:30;RW Rankweil;Wiener Sport-Club;3:2;(0:2)
15;3;29.8.2021 11:00;FC Mohren Dornbirn Damen;SV Fenastra Krenglbach;6:1;(4:1)
16;3;28.8.2021 18:00;Wildcats 11teamsports Krottendorf;Union LUV Graz;2:3;(1:2)
17;3;28.8.2021 17:00;SV Horn;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;3:1;(2:1)
18;3;28.8.2021 16:00;SC Neusiedl am See 1919;Sportunion Raiffeisen Geretsberg;1:2;(1:1)
19;4;5.9.2021 15:00;Union LUV Graz;USC Landhaus;2:0;(1:0)
20;4;5.9.2021 14:00;Carinthians LIWOdruck Hornets;SC Neusiedl am See 1919;1:0;(1:0)
21;4;5.9.2021 14:00;SV Fenastra Krenglbach;Wildcats 11teamsports Krottendorf;1:5;(0:1)
22;4;5.9.2021 11:00;FC Altera Porta;RW Rankweil;1:1;(1:1)
23;4;5.9.2021 11:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;FC Mohren Dornbirn Damen;4:0;(0:0)
24;4;4.9.2021 17:00;Wiener Sport-Club;SV Horn;1:1;(1:1)
25;5;12.9.2021 14:30;USC Landhaus;SV Fenastra Krenglbach;6:4;(3:1)
26;5;12.9.2021 14:00;Wildcats 11teamsports Krottendorf;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;1:1;(0:1)
27;5;12.9.2021 11:00;FC Mohren Dornbirn Damen;Wiener Sport-Club;1:1;(1:0)
