Id;Date;Time;City;Male;Adults;ReasonForVisit;Schoolyear;Schooltype;Comment;Abendschule;Elektronik;Fachschule Elektronik;FS Inf;Informatik;Kolleg;Medientechnik;Medizintechnik
1;23.01.2020;15:47;Eidenberg;False;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;True;False
2;23.01.2020;15:47;Alkoven;True;1;Freunde, Schule, Guter Ruf;7;AHS;;False;False;False;False;False;False;False;True
3;23.01.2020;15:48;Eschenau im Hausruckkreis;True;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;True;False
4;23.01.2020;15:49;Marchtrenk;False;1;Welser Messe;9;AHS;;False;False;False;False;False;False;True;False
5;23.01.2020;15:50;Marchtrenk;False;1;Welser Messe;9;AHS;;False;False;False;False;True;False;False;False
6;23.01.2020;15:52;Leonding;True;2;Kenne Absolventen;13;HTL;;False;False;False;False;True;False;False;False
7;23.01.2020;15:52;Puchenau;False;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;False;True
8;23.01.2020;15:52;Leonding;True;2;Kenne Absolventen;13;HTL;;False;False;False;False;True;False;False;False
9;23.01.2020;15:52;Leonding;True;2;Kenne Absolventen;13;HTL;;False;False;False;False;True;False;False;False
10;23.01.2020;15:53;Leonding;True;0;Freunde, Schule, Guter Ruf;8;NMS;;False;True;False;False;False;False;False;False
11;23.01.2020;15:54;Linz;True;2;Anderes;7;AHS;;False;False;False;False;True;False;False;False
12;23.01.2020;15:54;Linz;False;1;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;False;False;True;False
13;23.01.2020;15:55;Linz;False;1;Homepage, YouTube, Facebook, Instagram;8;NMS;;False;False;False;False;False;False;False;False
14;23.01.2020;15:56;Linz;True;1;Anderes;8;AHS;Interesse im Programmieren;False;False;False;False;True;False;False;False
15;23.01.2020;15:56;Linz;False;1;Welser Messe;8;AHS;;False;False;False;False;True;False;False;False
16;23.01.2020;15:56;Pucking;True;1;Freunde, Schule, Guter Ruf;8;NMS;;False;False;False;False;True;False;False;False
17;23.01.2020;15:57;Linz;True;0;Anderes;12;AHS;Mama ist Lehrerin;False;False;False;False;False;True;False;False
18;23.01.2020;15:58;Pregarten;True;1;Anderes;8;AHS;;False;False;False;False;True;False;False;False
19;23.01.2020;15:58;Putzleinsdorf;False;2;Freunde, Schule, Guter Ruf;8;AHS;;False;False;False;False;True;False;False;False
20;23.01.2020;16:00;Niederthalheim;True;2;Geschwister an der Schule;8;NMS;;False;False;False;False;True;False;True;False
