Autor;Titel;Verlag;ISBN
Bartos, Franz Burghard;Auf dem Ponyhof;Arena;340104527X
Bartos-Höppner;Vierundzwanzig Geschichten zur Weihnachtszeit;Omnibus;3570027430
Bartos-Höppner, Barbara;24 Ostergeschichten;Bertelsmann;3570035972
Bartos-Höppner, Barbara;Allererste Bibelgeschichten;ars Edition;3760778739
Bartos-Höppner, Barbara;Bergkristall - Eine Weihnachtsgeschichte;Patmos;3491797543
Bartos-Höppner, Barbara;Das Friedensfest;Annette Betz;3219104533
Bartos-Höppner, Barbara;Das große Schnüpperle Geschichtenbuch;Cbj;3570130487
Bartos-Höppner, Barbara;Der Rattenfänger von Hameln;Annette Betz;3219102824
Bartos-Höppner, Barbara;Die Weihnachtsgeschichte;Ravensburger;3473312762
Bartos-Höppner, Barbara;Ein schönes Leben für die kleine Henne;dtv junior;3423075872
Bartos-Höppner, Barbara;Kommst du mit, Kolja?;dtv;3423075945
Bartos-Höppner, Barbara;Lauf zur Krippe, kleiner Esel;Ravensburger;347333796X
Bartos-Höppner, Barbara;Schnüpperle auf Reisen;Bertelsmann;3570121194
Bartos-Höppner, Barbara;Schnüpperle hat Geburtstag;Bertelsmann;3570058603
Bartos-Höppner, Barbara;Schnüpperle und sein bester Freund (oder: ... sein Freund Purzel);Bertelsmann;3570058611
Bartram, Angelika;Mauseschlau & Bärenstark Hallo, kleiner Igel!;Carlsen;3551058474
Bartram, Simon;Man on the Moon (a day in the life of Bob);Templar Publishing;1840113693
Bartram, Simon;Man on the Moon (a day in the life of Bob);Templar Publishing;1840113693
Bartz, Claudia;Die schönsten Tiergeschichten (Bd. 4);Pestalozzi;3614486044
Barzik, Ulrike;Helfer auf vier Pfoten;Carlsen;3551065063
Bashow, Pawel P.;Die Steinerne Blume;LeiV Leipziger Kinderbuchverlag;3896030590
Bass, Frank;Wie ein junger Wolf;Ravensburger;3473580856
Bassewitz, Geerdt von;Peterchens Mondfahrt;gondolino;3811217895
Bassewitz, Gerdt von;Peterchens Mondfahrt;Baumhaus;3833904534
Bassewitz, Gerdt von;Peterchens Mondfahrt;Bassermann;3809420778
Bassewitz, Gerdt von;Peterchens Mondfahrt;dtv;3423705515
Bassewitz, Gerdt von;Peterchens Mondfahrt;Edition Bücherbär im Arena Verlag, Würzburg;3401087460
Bassewitz, Gerdt von;Peterchens Mondfahrt;Karl Müller;3898938719
Basso, Gina;Der Mut zu reden. Eine Mafia-Geschichte;ro ro ro;3499205645
Bastin, Marjolein;Vera, die Maus - Am Strand;Pawlak;3881996583
Bat, Prunella;Eine Fee wie keine;Kosmos;3440114422
Bat, Prunella;Verhext und zauberhaft!;Kosmos;3440114414
Bataille, Marion;ABC 3D;Carlsen;355151710X
Bataille, Sylvie;Si c'était vrai ....;Hachette Jeunesse;3595554566
Bath, K. P.;Verschwörung auf Castle Cant;Dressler;3791526731
Bato;Die Spur führt zum Fußballplatz;gondolino;3811227831
Bato;Die Spur führt zum Fußballplatz;gondolino;3811227831
Bato;Dinosauriergeschichten;gondolino;3811228099
Bato;Feengeschichten;gondolino;3811230662
Bato;Gespenstergeschichten;gondolino;3811228986
Bato;Hexengeschichten;gondolino;3811227017
Bato;Piratengeschichten;gondolino;3811227076
Bato;Piratengeschichten;gondolino;3811226428
Bato;Schulgeschichten;gondolino;3811221906
Battut, Eric;Das Ei;Bohem press;3855814562
