Home;Guest;ShotHome;ShotGuest
Belgien;Deutschland;0;1
Kasachstan;Türkei;0;3
Deutschland;Aserbaidschan;6;1
Österreich;Kasachstan;2;0
Türkei;Belgien;3;2
Kasachstan;Belgien;0;2
Österreich;Aserbaidschan;3;0
Deutschland;Türkei;3;0
Aserbaidschan;Türkei;1;0
Kasachstan;Deutschland;0;3
Belgien;Österreich;4;4
Österreich;Belgien;0;2
Deutschland;Kasachstan;4;0
Türkei;Österreich;2;0
Belgien;Aserbaidschan;4;1
Kasachstan;Aserbaidschan;2;1
Österreich;Deutschland;1;2
Belgien;Türkei;1;1
Aserbaidschan;Deutschland;1;3
Aserbaidschan;Belgien;1;1
Türkei;Kasachstan;2;1
Deutschland;Österreich;6;2
Österreich;Türkei;0;0
