ProductCode;Description;TaxClass;Retail
1;Artikelbezeichnung 1;A;0.99
2;Artikelbezeichnung 2;B;0.67
3;Artikelbezeichnung 3;A;1.14
4;Artikelbezeichnung 4;C;9.62
5;Artikelbezeichnung 5;A;9.08
6;Artikelbezeichnung 6;A;1.58
7;Artikelbezeichnung 7;A;8.35
8;Artikelbezeichnung 8;A;4.04
9;Artikelbezeichnung 9;A;4.70
10;Artikelbezeichnung 10;A;4.81
11;Artikelbezeichnung 11;A;6.87
12;Artikelbezeichnung 12;A;3.87
13;Artikelbezeichnung 13;A;1.52
14;Artikelbezeichnung 14;A;7.87
15;Artikelbezeichnung 15;A;9.48
16;Artikelbezeichnung 16;A;6.74
17;Artikelbezeichnung 17;A;7.58
18;Artikelbezeichnung 18;A;7.36
19;Artikelbezeichnung 19;A;3.69
20;Artikelbezeichnung 20;A;6.45
21;Artikelbezeichnung 21;A;1.33
22;Artikelbezeichnung 22;A;9.77
23;Artikelbezeichnung 23;A;9.34
24;Artikelbezeichnung 24;A;6.03
25;Artikelbezeichnung 25;A;3.47
26;Artikelbezeichnung 26;A;7.16
27;Artikelbezeichnung 27;A;8.00
28;Artikelbezeichnung 28;A;4.00
29;Artikelbezeichnung 29;A;0.68
30;Artikelbezeichnung 30;A;5.97
31;Artikelbezeichnung 31;A;2.14
32;Artikelbezeichnung 32;A;4.34
33;Artikelbezeichnung 33;A;6.94
34;Artikelbezeichnung 34;A;8.58
35;Artikelbezeichnung 35;A;8.02
36;Artikelbezeichnung 36;A;6.15
37;Artikelbezeichnung 37;A;2.75
38;Artikelbezeichnung 38;A;0.91
39;Artikelbezeichnung 39;A;7.29
40;Artikelbezeichnung 40;A;4.79
41;Artikelbezeichnung 41;A;5.68
42;Artikelbezeichnung 42;A;4.58
43;Artikelbezeichnung 43;A;1.30
44;Artikelbezeichnung 44;A;7.95
45;Artikelbezeichnung 45;A;8.52
46;Artikelbezeichnung 46;A;2.92
47;Artikelbezeichnung 47;A;5.34
48;Artikelbezeichnung 48;A;5.74
49;Artikelbezeichnung 49;A;1.10
50;Artikelbezeichnung 50;A;8.86
51;Artikelbezeichnung 51;A;8.27
52;Artikelbezeichnung 52;A;7.42
53;Artikelbezeichnung 53;A;6.64
54;Artikelbezeichnung 54;A;2.67
55;Artikelbezeichnung 55;A;4.21
56;Artikelbezeichnung 56;A;5.51
57;Artikelbezeichnung 57;A;5.72
58;Artikelbezeichnung 58;A;5.38
59;Artikelbezeichnung 59;A;2.14
60;Artikelbezeichnung 60;A;3.67
61;Artikelbezeichnung 61;A;9.84
62;Artikelbezeichnung 62;A;2.24
63;Artikelbezeichnung 63;A;9.72
64;Artikelbezeichnung 64;A;3.15
65;Artikelbezeichnung 65;A;9.38
66;Artikelbezeichnung 66;A;3.91
67;Artikelbezeichnung 67;A;2.86
68;Artikelbezeichnung 68;A;7.31
69;Artikelbezeichnung 69;A;8.02
70;Artikelbezeichnung 70;A;8.47
71;Artikelbezeichnung 71;A;9.79
72;Artikelbezeichnung 72;A;0.29
73;Artikelbezeichnung 73;A;6.79
74;Artikelbezeichnung 74;A;7.85
75;Artikelbezeichnung 75;A;6.88
76;Artikelbezeichnung 76;A;6.31
77;Artikelbezeichnung 77;A;3.67
78;Artikelbezeichnung 78;A;3.13
79;Artikelbezeichnung 79;A;5.27
80;Artikelbezeichnung 80;A;8.91
81;Artikelbezeichnung 81;A;5.58
82;Artikelbezeichnung 82;A;8.93
83;Artikelbezeichnung 83;A;5.56
84;Artikelbezeichnung 84;A;6.06
85;Artikelbezeichnung 85;A;6.25
86;Artikelbezeichnung 86;A;6.80
87;Artikelbezeichnung 87;A;6.74
88;Artikelbezeichnung 88;A;7.41
89;Artikelbezeichnung 89;A;9.12
90;Artikelbezeichnung 90;A;8.12
91;Artikelbezeichnung 91;A;0.10
92;Artikelbezeichnung 92;A;4.01
93;Artikelbezeichnung 93;A;6.60
94;Artikelbezeichnung 94;A;8.35
95;Artikelbezeichnung 95;A;5.69
96;Artikelbezeichnung 96;A;0.64
97;Artikelbezeichnung 97;A;6.56
98;Artikelbezeichnung 98;A;7.97
99;Artikelbezeichnung 99;A;7.36
100;Artikelbezeichnung 100;A;6.21
101;Artikelbezeichnung 101;A;2.52
102;Artikelbezeichnung 102;A;7.29
103;Artikelbezeichnung 103;A;9.83
104;Artikelbezeichnung 104;A;5.83
105;Artikelbezeichnung 105;A;7.24
106;Artikelbezeichnung 106;A;5.51
107;Artikelbezeichnung 107;A;9.44
108;Artikelbezeichnung 108;A;3.80
109;Artikelbezeichnung 109;A;2.78
110;Artikelbezeichnung 110;A;5.05
111;Artikelbezeichnung 111;A;6.34
112;Artikelbezeichnung 112;A;6.27
113;Artikelbezeichnung 113;A;0.65
114;Artikelbezeichnung 114;A;6.38
115;Artikelbezeichnung 115;A;9.72
116;Artikelbezeichnung 116;A;2.84
117;Artikelbezeichnung 117;A;8.52
118;Artikelbezeichnung 118;A;3.94
119;Artikelbezeichnung 119;A;7.31
120;Artikelbezeichnung 120;A;8.67
121;Artikelbezeichnung 121;A;1.86
122;Artikelbezeichnung 122;A;8.54
123;Artikelbezeichnung 123;A;5.90
124;Artikelbezeichnung 124;A;0.18
125;Artikelbezeichnung 125;A;4.63
126;Artikelbezeichnung 126;A;3.46
127;Artikelbezeichnung 127;A;5.60
128;Artikelbezeichnung 128;A;9.14
129;Artikelbezeichnung 129;A;3.10
130;Artikelbezeichnung 130;A;7.70
131;Artikelbezeichnung 131;A;5.63
132;Artikelbezeichnung 132;A;9.56
133;Artikelbezeichnung 133;A;7.89
134;Artikelbezeichnung 134;A;6.17
135;Artikelbezeichnung 135;A;3.44
136;Artikelbezeichnung 136;A;3.08
137;Artikelbezeichnung 137;A;5.48
138;Artikelbezeichnung 138;A;2.84
