Datum;Teams;Ergebnis
21.03.2019;Israel - Slowenien;1:1
21.03.2019;Mazedonien - Lettland;3:1
21.03.2019;Österreich - Polen;0:1
24.03.2019;Israel - Österreich;4:2
24.03.2019;Polen - Lettland;2:1
24.03.2019;Slowenien - Mazedonien;1:1
07.06.2019;Lettland - Israel;0:3
07.06.2019;Mazedonien - Polen;0:1
07.06.2019;Österreich - Slowenien;1:0
10.06.2019;Polen - Israel;4:0
10.06.2019;Lettland - Slowenien;0:5
10.06.2019;Mazedonien - Österreich;0:5
05.09.2019;Israel - Mazedonien;1:1
06.09.2019;Österreich - Lettland;6:0
06.09.2019;Slowenien - Polen;2:0
09.09.2019;Slowenien - Israel;3:2
09.09.2019;Lettland - Mazedonien;0:2
09.09.2019;Polen - Österreich;0:0
10.10.2019;Österreich - Israel;3:1
10.10.2019;Lettland - Polen;0:3
10.10.2019;Mazedonien - Slowenien;2:1
13.10.2019;Polen - Mazedonien;2:0
13.10.2019;Slowenien - Österreich;0:1
15.10.2019;Israel - Lettland;3:1
16.11.2019;Slowenien - Lettland;1:0
16.11.2019;Israel - Polen;1:2
16.11.2019;Österreich- Mazedonien;2:1
19.11.2019;Mazedonien - Israel;1:0
19.11.2019;Lettland - Österreich;1:0
19.11.2019;Polen - Slowenien;3:2
