Round;Date;HomeTeam;GuestTeam;Score;ScoreHalfTime
1;15.8.2021 15:00;SV Horn;Union LUV Graz;5:1;(2:0)
1;15.8.2021 14:00;Wildcats 11teamsports Krottendorf;Sportunion Raiffeisen Geretsberg;8:0;(4:0)
1;15.8.2021 11:00;FC Mohren Dornbirn Damen;Carinthians LIWOdruck Hornets;2:0;(1:0)
1;15.8.2021 11:00;RW Rankweil;SV Fenastra Krenglbach;3:2;(2:0)
1;14.8.2021 18:00;USC Landhaus;SC Neusiedl am See 1919;6:0;(2:0)
1;14.8.2021 16:00;FC Altera Porta;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;0:7;(0:4)
2;22.8.2021 14:00;Carinthians LIWOdruck Hornets;Wildcats 11teamsports Krottendorf;0:0;(0:0)
2;22.8.2021 14:00;Sportunion Raiffeisen Geretsberg;USC Landhaus;5:4;(4:2)
2;22.8.2021 11:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;RW Rankweil;0:2;(0:2)
2;22.8.2021 11:00;Union LUV Graz;FC Mohren Dornbirn Damen;1:5;(0:2)
2;21.8.2021 17:00;Wiener Sport-Club;FC Altera Porta;4:1;(0:1)
2;21.8.2021 14:00;SV Fenastra Krenglbach;SV Horn;0:4;(0:1)
3;29.8.2021 14:00;USC Landhaus;Carinthians LIWOdruck Hornets;3:4;(1:2)
3;29.8.2021 11:30;RW Rankweil;Wiener Sport-Club;3:2;(0:2)
3;29.8.2021 11:00;FC Mohren Dornbirn Damen;SV Fenastra Krenglbach;6:1;(4:1)
3;28.8.2021 18:00;Wildcats 11teamsports Krottendorf;Union LUV Graz;2:3;(1:2)
3;28.8.2021 17:00;SV Horn;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;3:1;(2:1)
3;28.8.2021 16:00;SC Neusiedl am See 1919;Sportunion Raiffeisen Geretsberg;1:2;(1:1)
4;5.9.2021 15:00;Union LUV Graz;USC Landhaus;2:0;(1:0)
4;5.9.2021 14:00;Carinthians LIWOdruck Hornets;SC Neusiedl am See 1919;1:0;(1:0)
4;5.9.2021 14:00;SV Fenastra Krenglbach;Wildcats 11teamsports Krottendorf;1:5;(0:1)
4;5.9.2021 11:00;FC Altera Porta;RW Rankweil;1:1;(1:1)
4;5.9.2021 11:00;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;FC Mohren Dornbirn Damen;4:0;(0:0)
4;4.9.2021 17:00;Wiener Sport-Club;SV Horn;1:1;(1:1)
5;12.9.2021 14:30;USC Landhaus;SV Fenastra Krenglbach;6:4;(3:1)
5;12.9.2021 14:00;Wildcats 11teamsports Krottendorf;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;1:1;(0:1)
5;12.9.2021 11:00;FC Mohren Dornbirn Damen;Wiener Sport-Club;1:1;(1:0)
5;11.9.2021 17:00;SV Horn;FC Altera Porta;6:0;(1:0)
5;11.9.2021 16:00;SC Neusiedl am See 1919;Union LUV Graz;0:1;(0:0)
5;11.9.2021 14:00;Sportunion Raiffeisen Geretsberg;Carinthians LIWOdruck Hornets;1:0;(1:0)
6;26.10.2021 11:45;Union LUV Graz;Sportunion Raiffeisen Geretsberg;2:0;(2:0)
6;19.9.2021 13:30;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;USC Landhaus;8:2;(3:2)
6;19.9.2021 12:00;FC Altera Porta;FC Mohren Dornbirn Damen;1:7;(1:2)
6;19.9.2021 11:00;RW Rankweil;SV Horn;0:2;(0:1)
6;18.9.2021 16:00;Wiener Sport-Club;Wildcats 11teamsports Krottendorf;2:3;(1:2)
6;18.9.2021 14:00;SV Fenastra Krenglbach;SC Neusiedl am See 1919;1:1;(0:1)
7;26.9.2021 14:00;Carinthians LIWOdruck Hornets;Union LUV Graz;2:1;(2:1)
7;26.9.2021 14:00;Wildcats 11teamsports Krottendorf;FC Altera Porta;6:3;(4:2)
7;26.9.2021 13:30;USC Landhaus;Wiener Sport-Club;0:7;(0:3)
7;25.9.2021 17:00;Sportunion Raiffeisen Geretsberg;SV Fenastra Krenglbach;5:2;(1:2)
7;25.9.2021 16:00;SC Neusiedl am See 1919;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;0:6;(0:4)
7;24.9.2021 19:00;FC Mohren Dornbirn Damen;RW Rankweil;1:1;(1:0)
8;3.10.2021 14:00;FC Altera Porta;USC Landhaus;5:1;(2:0)
8;3.10.2021 13:30;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;Sportunion Raiffeisen Geretsberg;3:0;(1:0)
8;3.10.2021 11:00;RW Rankweil;Wildcats 11teamsports Krottendorf;1:2;(1:2)
8;3.10.2021 11:00;SV Horn;FC Mohren Dornbirn Damen;0:2;(0:2)
8;2.10.2021 15:00;SV Fenastra Krenglbach;Carinthians LIWOdruck Hornets;0:3;(0:1)
8;2.10.2021 15:00;Wiener Sport-Club;SC Neusiedl am See 1919;5:3;(2:1)
9;10.10.2021 16:00;Union LUV Graz;SV Fenastra Krenglbach;6:1;(3:1)
9;10.10.2021 14:00;Carinthians LIWOdruck Hornets;SPG UNION Kleinmünchen/FC Blau-Weiß Linz;1:2;(1:0)
9;10.10.2021 14:00;Wildcats 11teamsports Krottendorf;SV Horn;5:3;(2:1)
9;10.10.2021 11:00;USC Landhaus;RW Rankweil;2:3;(1:1)
9;9.10.2021 16:00;SC Neusiedl am See 1919;FC Altera Porta;1:0;(1:0)
